movie_id,title,rating,number_of_ratings,movie_link
tt0099810,The Hunt for Red October,7.5,227000,https://www.imdb.com/title/tt0099810/
tt0086465,Trading Places,7.5,178000,https://www.imdb.com/title/tt0086465/
tt0099088,Back to the Future Part III,7.5,510000,https://www.imdb.com/title/tt0099088/
tt0100802,Total Recall,7.5,376000,https://www.imdb.com/title/tt0100802/
tt0096895,Batman,7.5,427000,https://www.imdb.com/title/tt0096895/
tt0087469,Indiana Jones and the Temple of Doom,7.5,561000,https://www.imdb.com/title/tt0087469/
tt0096754,The Abyss,7.5,206000,https://www.imdb.com/title/tt0096754/
tt0095631,Midnight Run,7.5,102000,https://www.imdb.com/title/tt0095631/
tt0097351,Field of Dreams,7.5,137000,https://www.imdb.com/title/tt0097351/
tt0082010,An American Werewolf in London,7.5,132000,https://www.imdb.com/title/tt0082010/
tt0095159,A Fish Called Wanda,7.5,163000,https://www.imdb.com/title/tt0095159/
tt0086979,Blood Simple,7.5,112000,https://www.imdb.com/title/tt0086979/
tt0085959,Monty Python's the Meaning of Life,7.5,129000,https://www.imdb.com/title/tt0085959/
tt0086960,Beverly Hills Cop,7.4,228000,https://www.imdb.com/title/tt0086960/
tt0087800,A Nightmare on Elm Street,7.4,286000,https://www.imdb.com/title/tt0087800/
tt0094721,Beetlejuice,7.4,412000,https://www.imdb.com/title/tt0094721/
tt0099871,Jacob's Ladder,7.4,127000,https://www.imdb.com/title/tt0099871/
tt0095489,The Land Before Time,7.4,105000,https://www.imdb.com/title/tt0095489/
tt0084805,Tootsie,7.4,121000,https://www.imdb.com/title/tt0084805/
tt0094737,Big,7.3,255000,https://www.imdb.com/title/tt0094737/
tt0087363,Gremlins,7.3,267000,https://www.imdb.com/title/tt0087363/
tt0091369,Labyrinth,7.3,161000,https://www.imdb.com/title/tt0091369/
tt0087538,The Karate Kid,7.3,266000,https://www.imdb.com/title/tt0087538/
