movie_id,title,rating,number_of_ratings,movie_link
tt1375666,Inception,8.8,2800000,https://www.imdb.com/title/tt1375666/
tt0816692,Interstellar,8.7,2400000,https://www.imdb.com/title/tt0816692/
tt10189514,Soorarai Pottru,8.6,130000,https://www.imdb.com/title/tt10189514/
tt1853728,Django Unchained,8.5,1800000,https://www.imdb.com/title/tt1853728/
tt6751668,Parasite,8.5,1100000,https://www.imdb.com/title/tt6751668/
tt2582802,Whiplash,8.5,1100000,https://www.imdb.com/title/tt2582802/
tt1675434,The Intouchables,8.5,1000000,https://www.imdb.com/title/tt1675434/
tt1345836,The Dark Knight Rises,8.4,2000000,https://www.imdb.com/title/tt1345836/
tt4154796,Avengers: Endgame,8.4,1400000,https://www.imdb.com/title/tt4154796/
tt2380307,Coco,8.4,679000,https://www.imdb.com/title/tt2380307/
tt5311514,Your Name.,8.4,375000,https://www.imdb.com/title/tt5311514/
tt4154756,Avengers: Infinity War,8.4,1300000,https://www.imdb.com/title/tt4154756/
tt4633694,Spider-Man: Into the Spider-Verse,8.4,760000,https://www.imdb.com/title/tt4633694/
tt8267604,Capernaum,8.4,121000,https://www.imdb.com/title/tt8267604/
tt2106476,The Hunt,8.3,399000,https://www.imdb.com/title/tt2106476/
tt1255953,Incendies,8.3,240000,https://www.imdb.com/title/tt1255953/
tt7286456,Joker,8.3,1700000,https://www.imdb.com/title/tt7286456/
tt8503618,Hamilton,8.3,135000,https://www.imdb.com/title/tt8503618/
tt0435761,Toy Story 3,8.3,951000,https://www.imdb.com/title/tt0435761/
tt5074352,Dangal,8.3,235000,https://www.imdb.com/title/tt5074352/
tt1832382,A Separation,8.3,274000,https://www.imdb.com/title/tt1832382/
tt8110330,Dil Bechara,8.3,137000,https://www.imdb.com/title/tt8110330/
tt0993846,The Wolf of Wall Street,8.2,1700000,https://www.imdb.com/title/tt0993846/
tt1130884,Shutter Island,8.2,1600000,https://www.imdb.com/title/tt1130884/
tt1392214,Prisoners,8.2,904000,https://www.imdb.com/title/tt1392214/
tt6966692,Green Book,8.2,662000,https://www.imdb.com/title/tt6966692/
tt8579674,1917,8.2,750000,https://www.imdb.com/title/tt8579674/
tt4729430,Klaus,8.2,222000,https://www.imdb.com/title/tt4729430/
tt10272386,The Father,8.2,222000,https://www.imdb.com/title/tt10272386/
tt5323662,A Silent Voice: The Movie,8.2,131000,https://www.imdb.com/title/tt5323662/
tt8108198,Andhadhun,8.2,113000,https://www.imdb.com/title/tt8108198/
tt4849438,Baahubali 2: The Conclusion,8.2,130000,https://www.imdb.com/title/tt4849438/
tt1954470,Gangs of Wasseypur,8.2,111000,https://www.imdb.com/title/tt1954470/
tt4430212,Drishyam,8.2,105000,https://www.imdb.com/title/tt4430212/
tt5813916,The Mountain II,8.2,112000,https://www.imdb.com/title/tt5813916/
tt7838252,K.G.F: Chapter 1,8.2,108000,https://www.imdb.com/title/tt7838252/
tt2267998,Gone Girl,8.1,1100000,https://www.imdb.com/title/tt2267998/
tt2119532,Hacksaw Ridge,8.1,660000,https://www.imdb.com/title/tt2119532/
tt4016934,The Handmaiden,8.1,196000,https://www.imdb.com/title/tt4016934/
tt1201607,Harry Potter and the Deathly Hallows: Part 2,8.1,1000000,https://www.imdb.com/title/tt1201607/
tt2278388,The Grand Budapest Hotel,8.1,947000,https://www.imdb.com/title/tt2278388/
tt1895587,Spotlight,8.1,528000,https://www.imdb.com/title/tt1895587/
tt1392190,Mad Max: Fury Road,8.1,1200000,https://www.imdb.com/title/tt1392190/
tt1950186,Ford v Ferrari,8.1,549000,https://www.imdb.com/title/tt1950186/
tt5027774,"Three Billboards Outside Ebbing, Missouri",8.1,595000,https://www.imdb.com/title/tt5027774/
tt1454029,The Help,8.1,522000,https://www.imdb.com/title/tt1454029/
tt0892769,How to Train Your Dragon,8.1,873000,https://www.imdb.com/title/tt0892769/
tt2024544,12 Years a Slave,8.1,776000,https://www.imdb.com/title/tt2024544/
tt1979320,Rush,8.1,549000,https://www.imdb.com/title/tt1979320/
tt3315342,Logan,8.1,909000,https://www.imdb.com/title/tt3315342/
tt2096673,Inside Out,8.1,891000,https://www.imdb.com/title/tt2096673/
tt1291584,Warrior,8.1,522000,https://www.imdb.com/title/tt1291584/
tt3011894,Wild Tales,8.1,234000,https://www.imdb.com/title/tt3011894/
tt3170832,Room,8.1,475000,https://www.imdb.com/title/tt3170832/
tt2338151,PK,8.1,218000,https://www.imdb.com/title/tt2338151/
tt3863552,Bajrangi Bhaijaan,8.1,108000,https://www.imdb.com/title/tt3863552/
tt2948356,Zootopia,8.0,598000,https://www.imdb.com/title/tt2948356/
tt1856101,Blade Runner 2049,8.0,734000,https://www.imdb.com/title/tt1856101/
tt3783958,La La Land,8.0,740000,https://www.imdb.com/title/tt3783958/
tt2015381,Guardians of the Galaxy,8.0,1300000,https://www.imdb.com/title/tt2015381/
