movie_id,title,rating,number_of_ratings,movie_link
tt0111161,The Shawshank Redemption,9.3,3100000,https://www.imdb.com/title/tt0111161/
tt0108052,Schindler's List,9.0,1600000,https://www.imdb.com/title/tt0108052/
tt0110912,Pulp Fiction,8.8,2400000,https://www.imdb.com/title/tt0110912/
tt0137523,Fight Club,8.8,2500000,https://www.imdb.com/title/tt0137523/
tt0109830,Forrest Gump,8.8,2400000,https://www.imdb.com/title/tt0109830/
tt0099685,Goodfellas,8.7,1400000,https://www.imdb.com/title/tt0099685/
tt0133093,The Matrix,8.7,2200000,https://www.imdb.com/title/tt0133093/
tt0114369,Se7en,8.6,2000000,https://www.imdb.com/title/tt0114369/
tt0102926,The Silence of the Lambs,8.6,1700000,https://www.imdb.com/title/tt0102926/
tt0120689,The Green Mile,8.6,1500000,https://www.imdb.com/title/tt0120689/
tt0120815,Saving Private Ryan,8.6,1600000,https://www.imdb.com/title/tt0120815/
tt0118799,Life Is Beautiful,8.6,796000,https://www.imdb.com/title/tt0118799/
tt0103064,Terminator 2: Judgment Day,8.6,1300000,https://www.imdb.com/title/tt0103064/
tt0114814,The Usual Suspects,8.5,1200000,https://www.imdb.com/title/tt0114814/
tt0172495,Gladiator,8.5,1800000,https://www.imdb.com/title/tt0172495/
tt0110413,Léon: The Professional,8.5,1300000,https://www.imdb.com/title/tt0110413/
tt0120586,American History X,8.5,1300000,https://www.imdb.com/title/tt0120586/
tt0110357,The Lion King,8.5,1200000,https://www.imdb.com/title/tt0110357/
tt0209144,Memento,8.4,1400000,https://www.imdb.com/title/tt0209144/
tt0119217,Good Will Hunting,8.3,1200000,https://www.imdb.com/title/tt0119217/
tt0113277,Heat,8.3,781000,https://www.imdb.com/title/tt0113277/
tt0180093,Requiem for a Dream,8.3,957000,https://www.imdb.com/title/tt0180093/
tt0169547,American Beauty,8.3,1300000,https://www.imdb.com/title/tt0169547/
tt0112573,Braveheart,8.3,1100000,https://www.imdb.com/title/tt0112573/
tt0114709,Toy Story,8.3,1100000,https://www.imdb.com/title/tt0114709/
tt0105236,Reservoir Dogs,8.3,1200000,https://www.imdb.com/title/tt0105236/
tt0119698,Princess Mononoke,8.3,473000,https://www.imdb.com/title/tt0119698/
tt0107290,Jurassic Park,8.2,1200000,https://www.imdb.com/title/tt0107290/
tt0167404,The Sixth Sense,8.2,1100000,https://www.imdb.com/title/tt0167404/
tt0208092,Snatch,8.2,962000,https://www.imdb.com/title/tt0208092/
tt0120382,The Truman Show,8.2,1300000,https://www.imdb.com/title/tt0120382/
tt0112641,Casino,8.2,607000,https://www.imdb.com/title/tt0112641/
tt0105695,Unforgiven,8.2,462000,https://www.imdb.com/title/tt0105695/
tt0119488,L.A. Confidential,8.2,651000,https://www.imdb.com/title/tt0119488/
tt0116282,Fargo,8.1,769000,https://www.imdb.com/title/tt0116282/
tt0118715,The Big Lebowski,8.1,905000,https://www.imdb.com/title/tt0118715/
