movie_id,title,rating,number_of_ratings,movie_link
tt0468569,The Dark Knight,9.1,3100000,https://www.imdb.com/title/tt0468569/
tt0167260,The Lord of the Rings: The Return of the King,9.0,2100000,https://www.imdb.com/title/tt0167260/
tt0120737,The Lord of the Rings: The Fellowship of the Ring,8.9,2200000,https://www.imdb.com/title/tt0120737/
tt1375666,Inception,8.8,2800000,https://www.imdb.com/title/tt1375666/
tt0167261,The Lord of the Rings: The Two Towers,8.8,1900000,https://www.imdb.com/title/tt0167261/
tt0317248,City of God,8.6,855000,https://www.imdb.com/title/tt0317248/
tt0245429,Spirited Away,8.6,940000,https://www.imdb.com/title/tt0245429/
tt0482571,The Prestige,8.5,1600000,https://www.imdb.com/title/tt0482571/
tt0407887,The Departed,8.5,1500000,https://www.imdb.com/title/tt0407887/
tt0172495,Gladiator,8.5,1800000,https://www.imdb.com/title/tt0172495/
tt0253474,The Pianist,8.5,991000,https://www.imdb.com/title/tt0253474/
tt0361748,Inglourious Basterds,8.4,1700000,https://www.imdb.com/title/tt0361748/
tt0209144,Memento,8.4,1400000,https://www.imdb.com/title/tt0209144/
tt0405094,The Lives of Others,8.4,436000,https://www.imdb.com/title/tt0405094/
tt0910970,WALL·E,8.4,1300000,https://www.imdb.com/title/tt0910970/
tt1187043,3 Idiots,8.4,471000,https://www.imdb.com/title/tt1187043/
tt0180093,Requiem for a Dream,8.3,957000,https://www.imdb.com/title/tt0180093/
tt0364569,Oldboy,8.3,700000,https://www.imdb.com/title/tt0364569/
tt0338013,Eternal Sunshine of the Spotless Mind,8.3,1200000,https://www.imdb.com/title/tt0338013/
tt1255953,Incendies,8.3,240000,https://www.imdb.com/title/tt1255953/
tt0211915,Amélie,8.3,829000,https://www.imdb.com/title/tt0211915/
tt0435761,Toy Story 3,8.3,951000,https://www.imdb.com/title/tt0435761/
tt1049413,Up,8.3,1200000,https://www.imdb.com/title/tt1049413/
tt0986264,Like Stars on Earth,8.3,227000,https://www.imdb.com/title/tt0986264/
tt0457430,Pan's Labyrinth,8.2,737000,https://www.imdb.com/title/tt0457430/
tt0469494,There Will Be Blood,8.2,691000,https://www.imdb.com/title/tt0469494/
tt0477348,No Country for Old Men,8.2,1200000,https://www.imdb.com/title/tt0477348/
